
I20260910 06:20:33.149590 0x1fa65e140 incremental_pipeline.cc:353] Loading database
I20260910 06:20:33.150101 0x1fa65e140 database_cache.cc:73] Loading rigs...
I20260910 06:20:33.150118 0x1fa65e140 database_cache.cc:83]  1 in 0.000s
I20260910 06:20:33.150121 0x1fa65e140 database_cache.cc:91] Loading cameras...
I20260910 06:20:33.150127 0x1fa65e140 database_cache.cc:109]  1 in 0.000s
I20260910 06:20:33.150130 0x1fa65e140 database_cache.cc:117] Loading frames...
I20260910 06:20:33.150142 0x1fa65e140 database_cache.cc:127]  4 in 0.000s
I20260910 06:20:33.150145 0x1fa65e140 database_cache.cc:135] Loading matches...
I20260910 06:20:33.150165 0x1fa65e140 database_cache.cc:140]  4 in 0.000s
I20260910 06:20:33.150168 0x1fa65e140 database_cache.cc:148] Loading images...
I20260910 06:20:33.150402 0x1fa65e140 database_cache.cc:245]  4 in 0.000s (connected 4, loaded 4)
I20260910 06:20:33.150406 0x1fa65e140 database_cache.cc:259] Loading pose priors...
I20260910 06:20:33.150410 0x1fa65e140 database_cache.cc:267]  0 in 0.000s
I20260910 06:20:33.150412 0x1fa65e140 database_cache.cc:275] Building correspondence graph...
I20260910 06:20:33.150483 0x1fa65e140 database_cache.cc:304]  in 0.000s (ignored 0)
I20260910 06:20:33.150485 0x1fa65e140 timer.cc:90] Elapsed time: 0.000 [minutes]
I20260910 06:20:33.151639 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:33.151642 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:33.152527 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:33.152530 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:33.153262 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:33.153265 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:33.154168 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:33.154170 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:33.155812 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:33.155816 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:33.156611 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
