
I20260910 06:20:35.613078 0x1fa65e140 incremental_pipeline.cc:353] Loading database
I20260910 06:20:35.613370 0x1fa65e140 database_cache.cc:73] Loading rigs...
I20260910 06:20:35.613388 0x1fa65e140 database_cache.cc:83]  1 in 0.000s
I20260910 06:20:35.613391 0x1fa65e140 database_cache.cc:91] Loading cameras...
I20260910 06:20:35.613398 0x1fa65e140 database_cache.cc:109]  1 in 0.000s
I20260910 06:20:35.613400 0x1fa65e140 database_cache.cc:117] Loading frames...
I20260910 06:20:35.613410 0x1fa65e140 database_cache.cc:127]  4 in 0.000s
I20260910 06:20:35.613413 0x1fa65e140 database_cache.cc:135] Loading matches...
I20260910 06:20:35.613439 0x1fa65e140 database_cache.cc:140]  4 in 0.000s
I20260910 06:20:35.613441 0x1fa65e140 database_cache.cc:148] Loading images...
I20260910 06:20:35.613665 0x1fa65e140 database_cache.cc:245]  4 in 0.000s (connected 4, loaded 4)
I20260910 06:20:35.613668 0x1fa65e140 database_cache.cc:259] Loading pose priors...
I20260910 06:20:35.613673 0x1fa65e140 database_cache.cc:267]  0 in 0.000s
I20260910 06:20:35.613675 0x1fa65e140 database_cache.cc:275] Building correspondence graph...
I20260910 06:20:35.613745 0x1fa65e140 database_cache.cc:304]  in 0.000s (ignored 0)
I20260910 06:20:35.613748 0x1fa65e140 timer.cc:90] Elapsed time: 0.000 [minutes]
I20260910 06:20:35.614860 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.614863 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.615727 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.615729 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.616544 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.616547 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.617301 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.617303 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.618043 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.618046 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.619058 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.619060 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.619866 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.619868 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.620630 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.620633 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.621377 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:35.621380 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:35.622227 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
