
I20260910 06:20:34.550945 0x1fa65e140 incremental_pipeline.cc:353] Loading database
I20260910 06:20:34.551245 0x1fa65e140 database_cache.cc:73] Loading rigs...
I20260910 06:20:34.551260 0x1fa65e140 database_cache.cc:83]  1 in 0.000s
I20260910 06:20:34.551264 0x1fa65e140 database_cache.cc:91] Loading cameras...
I20260910 06:20:34.551270 0x1fa65e140 database_cache.cc:109]  1 in 0.000s
I20260910 06:20:34.551272 0x1fa65e140 database_cache.cc:117] Loading frames...
I20260910 06:20:34.551284 0x1fa65e140 database_cache.cc:127]  4 in 0.000s
I20260910 06:20:34.551286 0x1fa65e140 database_cache.cc:135] Loading matches...
I20260910 06:20:34.551305 0x1fa65e140 database_cache.cc:140]  4 in 0.000s
I20260910 06:20:34.551307 0x1fa65e140 database_cache.cc:148] Loading images...
I20260910 06:20:34.551526 0x1fa65e140 database_cache.cc:245]  4 in 0.000s (connected 4, loaded 4)
I20260910 06:20:34.551529 0x1fa65e140 database_cache.cc:259] Loading pose priors...
I20260910 06:20:34.551533 0x1fa65e140 database_cache.cc:267]  0 in 0.000s
I20260910 06:20:34.551534 0x1fa65e140 database_cache.cc:275] Building correspondence graph...
I20260910 06:20:34.551606 0x1fa65e140 database_cache.cc:304]  in 0.000s (ignored 0)
I20260910 06:20:34.551609 0x1fa65e140 timer.cc:90] Elapsed time: 0.000 [minutes]
I20260910 06:20:34.552870 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:34.552873 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:34.554280 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:34.554282 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:34.555040 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:34.555043 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
